Company,Website,Email,Address
Sigma Allied Services Pvt. Ltd.,http://www.sigmacorpsolutions.com/,NA,"304, 3rd Floor, Raindrops Building, Opp Yes Bank, Chimanlal Girdharlal Rd, Ahmedabad, Gujarat
380009"
Skill Matrix Quantum Leap Consulting Pvt. Ltd. (Teamware Solutions),https://www.teamwaresolutions.net/,india@twsol.com,"3 and 4, 6th Floor, KASI Arcade, Thygaraya Road, T.Nagar, Chennai, Tamil Nadu
600017"
SMVA Consultants / Recex,https://www.recex.co/,admin@recex.co,"Marshall House, 8th Floor, Suite #810 33/1, N S ROAD, Kolkata
700001"
Stalwart Management Consulting,http://www.stalwart-consulting.com,bharat@stalwart-consulting.com,"Ijmima Complex, 143 – 147 1st Floor, opposite Interface Building, behind Goregaon sports complex, Mindspace, Malad West, Mumbai, Maharashtra
400064"
Switchover Solutions,http://www.switchover.in,info@switchover.in,"12a, Sarthik, Next To Fun Repbulic, Iscon Circle, Satellite Road, Sarthik, Ahmedabad, Gujarat
380015"
Synergy Resource Solutions,http://www.synergyresource.co.in,info@synergyresource.co.in,"Safal Parisar 1, L-302, Gala Gymkhana Rd, opp. Orchid Center, South Bopal, Ahmedabad, Gujarat
380058"
TalentHome Solutions LLP,http://www.talenthome.in,info@talenthome.in,"3/5, Business Point, Paliram Rd, Lohana Colony, Andheri West, Mumbai, Maharashtra
400058"
Task Staffing Solutions Pvt. Ltd.,https://taskstaffing.com/,info@taskstaffing.com,"14, 3rd Floor, Zodiac Square, Opp. Gurudwara, S.G. Highway, Bodakdev, Ahmedabad, Gujarat
380054"
Taurus Contractors Pvt. Ltd.,https://www.tauruscontractors.com/,enquiry@tauruscontractors.com,"B-310, Hind Saurashtra Industrial Estate, Marol Naka, Andheri Kurla Road, Andheri East, Mumbai, Maharashtra
400059"
The Pratham Group,http://www.theprathamgroup.com/,info@theprathamgroup.com,"B-310, Third Floor, Titanium City Centre [Business Park, Prahlad Nagar Rd, next to Sachin Tower, Satellite, Ahmedabad, Gujarat
380015"
TM Inputs & Services Pvt. Ltd.,http://www.tminetwork.com/,NA,"20/5, Sriman Srinivasan Road, Alwarpet, Alwarpet, Chennai, Tamil Nadu
600018"
Top Notch Placements,http://www.topnotchplacements.com,Admin@topnotchplacements.com,"137, Bldg No:9, Laxmi Plaza, New Link Rd, Laxmi Industrial Estate, Shastri Nagar, Andheri West, Mumbai, Maharashtra
400053"
United HR Solutions Pvt. Ltd. ,https://www.uhr.co.in/,ahmedabad@uhr.co.in,"302, Sachet-1, Off C G Road, Near Swastik Char Rasta, Navrangpura, Ahmedabad, Gujarat
380009"
Vijeta Placements  ,http://www.vijetaplacements.com,hr@vijetaplacements.com,"514, Sun Avenue One, Shyamal-Manekbaug Road Lane, beside Golden Tulip Bunglows, Satellite, Ahmedabad, Gujarat
380015"
Zenith HR Solutions,http://www.zenithhr.co.in/,hr@zenithhr.co.in,"408, 4th Floor, Suchita Business Park,
Patel Chowk, Ghatkopar East
Mumbai
400075"
